PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1000.0,32,14.0,4.0,51,5.12,210,8,287.1,301.9,288.0
988.0,133,12.9,3.7,54,5.08,255,11,287.1,301.7,287.9
941.0,540,8.5,2.6,66,4.93,240,20,286.6,300.8,287.5
925.0,683,7.0,2.2,71,4.87,255,18,286.5,300.5,287.3
915.0,772,6.2,1.8,74,4.80,255,20,286.5,300.3,287.3
903.0,879,5.1,1.4,77,4.70,250,23,286.5,300.0,287.3
894.0,961,4.3,1.0,79,4.63,240,22,286.5,299.9,287.3
870.0,1183,2.2,0.1,86,4.45,248,20,286.5,299.4,287.3
855.0,1324,1.6,-5.4,60,3.00,253,18,287.3,296.2,287.9
850.0,1371,1.2,-4.8,64,3.16,255,18,287.4,296.7,287.9
841.0,1456,0.4,-4.0,73,3.41,260,19,287.4,297.4,288.0
831.0,1552,-0.5,-3.0,83,3.71,250,19,287.5,298.3,288.1
817.0,1686,-1.4,-4.1,82,3.48,235,19,287.9,298.1,288.5
797.0,1881,-2.7,-5.7,80,3.16,260,20,288.6,298.0,289.1
721.0,2671,-7.9,-12.0,72,2.12,245,18,291.2,297.8,291.6
720.0,2682,-8.0,-12.3,71,2.08,245,18,291.3,297.7,291.6
704.0,2856,-9.0,-16.6,54,1.50,220,23,292.0,296.8,292.3
702.0,2878,-9.1,-17.1,52,1.43,223,23,292.1,296.7,292.4
700.0,2900,-9.3,-17.3,52,1.41,225,22,292.2,296.6,292.4
671.0,3223,-11.8,-18.5,58,1.33,260,22,292.9,297.1,293.1
661.0,3337,-12.7,-18.9,60,1.30,250,26,293.1,297.3,293.4
652.0,3441,-13.5,-19.3,62,1.28,245,24,293.4,297.4,293.6
645.0,3524,-14.2,-19.6,63,1.26,255,20,293.6,297.6,293.8
622.0,3800,-16.3,-20.6,69,1.20,275,24,294.1,298.0,294.4
614.0,3899,-17.1,-21.0,72,1.17,268,25,294.3,298.1,294.6
601.0,4060,-17.9,-21.2,75,1.18,256,26,295.2,299.0,295.4
584.0,4271,-19.4,-22.8,75,1.05,240,28,295.8,299.3,296.0
565.0,4515,-21.2,-24.7,74,0.92,240,31,296.6,299.6,296.7
556.0,4633,-22.1,-25.6,73,0.86,260,26,296.9,299.7,297.1
545.0,4781,-23.2,-26.8,72,0.79,240,34,297.3,299.9,297.4
524.0,5070,-25.3,-29.0,71,0.67,260,31,298.1,300.4,298.2
522.0,5098,-25.5,-29.2,71,0.66,259,32,298.2,300.4,298.3
501.0,5396,-26.9,-33.9,52,0.44,250,46,300.0,301.5,300.1
500.0,5410,-26.7,-34.7,47,0.40,250,46,300.4,301.9,300.5
494.0,5498,-25.7,-37.7,32,0.30,247,40,302.7,303.8,302.7
480.0,5703,-27.2,-38.6,33,0.29,240,27,303.4,304.4,303.4
467.0,5900,-28.6,-39.4,35,0.27,235,28,304.0,305.0,304.1
438.0,6359,-31.8,-41.3,38,0.23,255,20,305.5,306.4,305.6
427.0,6541,-33.1,-42.1,40,0.22,265,26,306.1,306.9,306.2
417.0,6708,-32.9,-43.9,32,0.19,261,32,308.5,309.2,308.5
413.0,6776,-33.5,-44.5,32,0.18,260,34,308.6,309.3,308.6
400.0,7000,-35.3,-46.3,32,0.15,260,30,309.0,309.6,309.1
337.0,8160,-45.2,-53.0,41,0.08,240,34,311.0,311.3,311.0
324.0,8427,-47.5,-54.5,44,0.07,245,35,311.4,311.7,311.4
300.0,8930,-50.9,-58.9,38,0.05,255,37,313.5,313.7,313.5
294.0,9061,-51.4,-59.9,35,0.04,250,37,314.6,314.7,314.6
288.0,9195,-52.0,-61.0,33,0.04,260,41,315.7,315.8,315.7
272.0,9565,-53.4,-63.9,27,0.03,275,35,318.7,318.9,318.7
267.0,9685,-53.9,-64.9,25,0.02,276,35,319.7,319.8,319.7
250.0,10110,-52.7,-67.7,15,0.02,280,35,327.6,327.7,327.6
249.0,10136,-52.5,-67.5,15,0.02,280,33,328.3,328.3,328.3
229.0,10670,-56.1,-73.5,10,0.01,250,23,330.7,330.7,330.7
224.0,10811,-57.1,-75.1,8,0.01,250,27,331.3,331.3,331.3
206.0,11342,-55.3,-78.5,4,0.00,250,44,342.1,342.1,342.1
200.0,11530,-54.7,-79.7,3,0.00,255,36,346.0,346.0,346.0
197.0,11627,-53.5,-79.5,3,0.00,251,33,349.4,349.4,349.4
196.0,11660,-53.7,-80.0,3,0.00,250,32,349.6,349.6,349.6
188.0,11928,-55.1,-84.1,2,0.00,252,35,351.5,351.5,351.5
178.0,12279,-54.6,-84.5,1,0.00,255,38,357.9,357.9,357.9
163.0,12845,-53.7,-85.2,1,0.00,230,40,368.5,368.5,368.5
152.0,13295,-53.0,-85.8,1,0.00,250,39,377.1,377.1,377.1
150.0,13380,-52.9,-85.9,1,0.00,250,37,378.7,378.7,378.7
147.0,13510,-51.9,-84.9,1,0.00,250,34,382.6,382.6,382.6
145.0,13598,-52.2,-85.1,1,0.00,250,32,383.6,383.6,383.6
137.0,13961,-53.4,-86.1,1,0.00,225,16,387.8,387.8,387.8
132.0,14199,-54.2,-86.7,1,0.00,225,21,390.6,390.6,390.6
130.0,14297,-54.5,-87.0,1,0.00,235,24,391.7,391.7,391.7
127.0,14446,-55.0,-87.3,1,0.00,255,22,393.4,393.4,393.4
121.0,14756,-56.0,-88.1,1,0.00,250,13,397.0,397.1,397.0
117.0,14971,-56.7,-88.7,1,0.00,240,17,399.6,399.6,399.6
112.0,15249,-56.0,-88.2,1,0.00,230,20,405.9,405.9,405.9
109.0,15421,-55.5,-88.0,1,0.00,240,18,409.9,410.0,409.9
100.0,15970,-54.1,-87.1,1,0.00,230,35,422.9,422.9,422.9
