PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1013.0,10,18.0,13.0,73,9.37,130,4,290.1,316.7,291.7
1009.0,42,17.8,12.5,71,9.11,115,10,290.2,316.1,291.8
1000.0,114,17.4,11.4,68,8.53,115,12,290.6,314.9,292.0
974.0,337,15.5,10.2,70,8.05,140,10,290.8,313.9,292.2
925.0,774,11.8,7.7,76,7.17,150,10,291.4,312.1,292.6
885.0,1140,9.1,5.1,76,6.28,120,14,292.3,310.5,293.4
850.0,1475,6.6,2.8,77,5.54,120,12,293.1,309.3,294.0
842.0,1553,6.0,2.6,79,5.51,120,12,293.2,309.4,294.2
840.0,1572,5.9,2.5,79,5.47,120,12,293.3,309.4,294.3
801.0,1958,3.5,-0.3,76,4.71,155,10,294.8,308.9,295.6
783.0,2142,2.4,-1.6,75,4.37,140,12,295.5,308.7,296.3
748.0,2513,0.2,-4.2,72,3.76,144,10,297.0,308.4,297.7
743.0,2566,-0.2,-4.2,74,3.78,145,10,297.1,308.7,297.8
722.0,2795,-1.9,-4.3,83,3.87,175,10,297.7,309.5,298.4
700.0,3041,-3.7,-4.4,95,3.96,180,10,298.4,310.4,299.1
685.0,3212,-5.1,-6.2,92,3.53,177,10,298.6,309.5,299.3
677.0,3304,-4.5,-7.9,77,3.13,175,10,300.3,310.1,300.9
673.0,3351,-4.7,-9.7,68,2.73,174,10,300.6,309.2,301.1
651.0,3612,-6.7,-9.1,83,2.96,169,10,301.2,310.5,301.8
636.0,3794,-7.1,-11.5,71,2.51,165,10,302.8,310.8,303.2
616.0,4043,-7.7,-14.7,57,2.00,197,10,304.9,311.4,305.2
590.0,4376,-10.3,-20.1,44,1.32,240,10,305.6,310.1,305.9
580.0,4508,-11.3,-22.3,40,1.11,239,10,305.9,309.7,306.1
561.0,4763,-13.1,-20.1,56,1.39,238,10,306.8,311.4,307.0
508.0,5512,-18.1,-33.1,26,0.47,235,9,309.5,311.2,309.6
500.0,5630,-18.7,-31.7,31,0.54,235,9,310.2,312.1,310.3
470.0,6087,-21.5,-35.5,27,0.40,235,7,312.2,313.7,312.3
437.0,6617,-26.1,-37.2,34,0.36,235,4,312.9,314.2,313.0
436.0,6634,-26.3,-37.3,35,0.36,235,4,312.9,314.2,313.0
410.0,7074,-29.4,-46.1,18,0.15,225,10,314.4,315.0,314.4
400.0,7250,-30.7,-49.7,14,0.10,225,13,315.0,315.4,315.0
391.0,7409,-32.0,-50.6,14,0.09,235,14,315.3,315.7,315.3
380.0,7608,-33.7,-51.7,15,0.09,220,16,315.7,316.0,315.7
345.0,8282,-39.4,-55.5,16,0.06,220,14,316.8,317.1,316.8
342.0,8343,-39.9,-55.9,16,0.06,222,15,316.9,317.2,316.9
