PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1013.0,32,16.0,11.3,74,8.36,0,0,288.1,311.8,289.5
1000.0,142,17.2,8.2,55,6.86,50,5,290.4,310.1,291.6
995.0,185,17.4,6.4,48,6.09,53,5,291.0,308.7,292.0
927.0,785,13.1,3.1,51,5.19,90,10,292.6,307.8,293.5
925.0,803,13.0,3.0,51,5.16,90,11,292.6,307.8,293.5
890.0,1124,10.4,2.0,56,5.00,85,18,293.1,307.9,294.0
873.0,1285,9.1,1.5,59,4.92,105,18,293.4,307.9,294.2
862.0,1390,8.2,1.2,61,4.87,93,19,293.5,308.0,294.4
855.0,1458,7.8,0.8,61,4.78,85,20,293.9,308.1,294.7
850.0,1506,7.6,0.6,61,4.72,85,21,294.1,308.1,294.9
837.0,1633,7.4,-1.2,54,4.21,110,21,295.2,307.9,296.0
834.0,1663,7.4,-1.6,53,4.10,109,21,295.5,307.8,296.2
823.0,1770,6.4,-1.9,55,4.04,105,21,295.6,307.8,296.3
812.0,1880,5.4,-2.3,57,3.99,120,21,295.7,307.7,296.4
794.0,2062,3.8,-2.9,62,3.90,95,16,295.8,307.6,296.5
773.0,2279,1.8,-3.6,67,3.80,105,27,296.0,307.5,296.6
751.0,2514,-0.3,-4.4,74,3.69,93,29,296.1,307.3,296.8
746.0,2567,-0.6,-4.4,75,3.72,90,30,296.4,307.7,297.0
707.0,2995,-2.9,-4.4,89,3.92,90,20,298.4,310.4,299.1
700.0,3074,-3.3,-4.4,92,3.96,95,15,298.8,310.9,299.5
686.0,3234,-4.0,-4.5,96,4.00,110,17,299.8,312.0,300.5
680.0,3303,-4.3,-4.6,98,4.02,96,15,300.2,312.5,300.9
671.0,3407,-4.8,-5.2,97,3.89,75,13,300.7,312.7,301.4
663.0,3501,-5.3,-5.7,97,3.78,65,15,301.2,312.9,301.9
654.0,3608,-5.8,-6.3,96,3.66,100,16,301.8,313.1,302.4
585.0,4478,-10.3,-11.3,92,2.77,128,32,306.4,315.3,306.9
570.0,4676,-11.7,-12.8,91,2.52,135,36,307.0,315.2,307.5
520.0,5376,-16.5,-18.1,87,1.78,139,30,309.4,315.3,309.7
509.0,5536,-17.4,-21.6,70,1.35,140,29,310.1,314.7,310.4
501.0,5655,-18.1,-24.1,59,1.09,127,29,310.7,314.5,310.9
500.0,5670,-18.1,-24.1,59,1.10,125,29,310.9,314.7,311.1
495.0,5744,-18.6,-24.8,58,1.04,120,28,311.1,314.7,311.3
438.0,6647,-25.3,-33.3,47,0.53,107,31,313.8,315.7,313.9
423.0,6900,-27.5,-36.5,42,0.40,103,32,314.1,315.6,314.2
410.0,7123,-29.4,-37.3,46,0.38,100,33,314.5,315.9,314.5
400.0,7300,-30.9,-37.9,50,0.37,105,31,314.8,316.1,314.8
372.0,7805,-35.3,-42.9,46,0.23,120,24,315.4,316.3,315.5
358.0,8071,-37.7,-45.5,44,0.18,110,29,315.8,316.5,315.8
351.0,8209,-38.9,-46.9,43,0.16,112,29,315.9,316.6,316.0
310.0,9044,-46.5,-49.4,72,0.14,122,27,316.7,317.3,316.8
300.0,9260,-48.7,-52.4,65,0.10,125,27,316.6,317.0,316.6
273.0,9873,-54.2,-58.3,61,0.05,135,33,317.2,317.4,317.2
270.0,9945,-54.9,-59.0,60,0.05,132,33,317.3,317.5,317.3
260.0,10188,-53.7,-66.7,19,0.02,121,34,322.5,322.6,322.5
250.0,10440,-54.7,-69.7,14,0.01,110,34,324.6,324.7,324.6
